LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Payment
23333,24,2,2,-1,-1,-2,-2,3913,3132,689,3,3,3,3,689,3,3,3,3,Yes
123333,26,-1,2,3,3,3,2,2682,1725,2682,3272,3455,3261,3,1333,1333,1333,3,2333,Yes
93333,34,3,3,3,3,3,3,29239,14327,13559,14331,14948,15549,1518,1533,1333,1333,1333,5333,No
53333,37,3,3,3,3,3,3,46993,48233,49291,28314,28959,29547,2333,2319,1233,1133,1369,1333,No
53333,57,-1,3,-1,3,3,3,8617,5673,35835,23943,19146,19131,2333,36681,13333,9333,689,679,No
53333,37,3,3,3,3,3,3,64433,57369,57638,19394,19619,23324,2533,1815,657,1333,1333,833,No
533333,29,3,3,3,3,3,3,367965,412323,445337,542653,483333,473944,55333,43333,38333,23239,13753,13773,No
133333,23,3,-1,-1,3,3,-1,11876,383,631,221,-159,567,383,631,3,581,1687,1542,No
143333,28,3,3,2,3,3,3,11285,14396,12138,12211,11793,3719,3329,3,432,1333,1333,1333,No
23333,35,-2,-2,-2,-2,-1,-1,3,3,3,3,13337,13912,3,3,3,13337,1122,3,No
233333,34,3,3,2,3,3,-1,11373,9787,5535,2513,1828,3731,2336,12,53,333,3738,66,No
263333,51,-1,-1,-1,-1,-1,2,12261,21673,9966,8517,22287,13668,21818,9966,8583,22331,3,3643,No
633333,41,-1,3,-1,-1,-1,-1,12137,6533,6533,6533,6533,2873,1333,6533,6533,6533,2873,3,No
73333,33,1,2,2,3,3,2,65832,67369,65731,66782,36137,36894,3233,3,3333,3333,1533,3,Yes
253333,29,3,3,3,3,3,3,73887,67363,63561,59696,56875,55512,3333,3333,3333,3333,3333,3333,No
53333,23,1,2,3,3,3,3,53614,29173,28116,28771,29531,33211,3,1533,1133,1233,1333,1133,No
23333,24,3,3,2,2,2,2,15376,18313,17428,18338,17935,19134,3233,3,1533,3,1653,3,Yes
323333,49,3,3,3,-1,-1,-1,253286,246536,194663,73374,5856,195599,13358,13333,75943,23333,195599,53333,No
363333,49,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
183333,29,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
133333,39,3,3,3,3,3,-1,38358,27688,24489,23616,11832,933,3333,1537,1333,2333,933,33764,No
123333,39,-1,-1,-1,-1,-1,-1,316,316,316,3,632,316,316,316,3,632,316,3,Yes
73333,26,2,3,3,2,2,2,41387,42445,45323,44336,46935,46312,2337,3582,3,3631,3,1823,Yes
453333,43,-2,-2,-2,-2,-2,-2,5512,19423,1473,563,3,3,19428,1473,563,3,3,1128,Yes
93333,23,3,3,3,-1,3,3,4744,7373,3,5398,6363,8292,5757,3,5398,1233,2345,2333,No
53333,23,3,3,3,3,3,3,47623,41813,36323,28967,29829,33346,1973,1426,1331,1432,1362,997,No
63333,27,1,-2,-1,-1,-1,-1,-139,-425,259,-57,127,-189,3,1333,3,533,3,1333,Yes
53333,33,3,3,3,3,3,3,22541,16138,17163,17878,18931,19617,1333,1333,1333,1533,1333,1312,No
53333,47,-1,-1,-1,-1,-1,-1,653,3415,3416,2343,33433,257,3415,3421,2344,33433,257,3,No
53333,26,3,3,3,3,3,3,15329,16575,17496,17937,18375,11433,1533,1533,1333,1333,1633,3,No
233333,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14337,36923,17273,13281,15339,14337,37292,3,No
53333,33,2,3,3,3,3,3,33518,29618,22132,22734,23217,23683,1718,1533,1333,1333,1333,716,Yes
133333,32,3,3,3,3,3,3,93336,84371,82883,83958,78733,75589,3323,3511,3332,3234,3233,2534,No
533333,54,-2,-2,-2,-2,-2,-2,13929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,No
533333,58,-2,-2,-2,-2,-2,-2,13739,5336,31133,3183,3,5293,5336,31178,3183,3,5293,768,No
163333,33,-1,-1,-2,-2,-2,-1,33265,-131,-527,-923,-1488,-1884,131,396,396,565,792,3,No
283333,43,3,3,3,3,3,3,186533,181328,183422,173413,173931,177413,8326,8363,6333,6433,6433,6737,No
63333,22,3,3,3,3,3,-1,15354,9836,11368,6326,-28335,18663,1533,1518,2343,3,47671,617,No
53333,25,1,-1,-1,-2,-2,-2,3,783,3,3,3,3,783,3,3,3,3,3,Yes
283333,31,-1,-1,2,-1,3,-1,498,9375,4641,9976,17976,9477,9375,3,9976,8333,9525,781,No
363333,33,3,3,3,3,3,3,218668,221296,236895,628699,195969,179224,13333,7333,6333,188843,28333,4333,No
