LIMIT_BAL,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Default Payment
93333,3,3,3,3,3,3,29239,14327,13559,14331,14948,15549,1518,1533,1333,1333,1333,5333,No
53333,3,3,3,3,3,3,46993,48233,49291,28314,28959,29547,2333,2319,1233,1133,1369,1333,No
53333,3,3,3,3,3,3,64433,57369,57638,19394,19619,23324,2533,1815,657,1333,1333,833,No
143333,3,3,2,3,3,3,11285,14396,12138,12211,11793,3719,3329,3,432,1333,1333,1333,No
253333,3,3,3,3,3,3,73887,67363,63561,59696,56875,55512,3333,3333,3333,3333,3333,3333,No
53333,1,2,3,3,3,3,53614,29173,28116,28771,29531,33211,3,1533,1133,1233,1333,1133,No
23333,3,3,2,2,2,2,15376,18313,17428,18338,17935,19134,3233,3,1533,3,1653,3,Yes
363333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
183333,1,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,No
123333,-1,-1,-1,-1,-1,-1,316,316,316,3,632,316,316,316,3,632,316,3,Yes
53333,3,3,3,3,3,3,47623,41813,36323,28967,29829,33346,1973,1426,1331,1432,1362,997,No
63333,1,-2,-1,-1,-1,-1,-139,-425,259,-57,127,-189,3,1333,3,533,3,1333,Yes
53333,3,3,3,3,3,3,22541,16138,17163,17878,18931,19617,1333,1333,1333,1533,1333,1312,No
53333,3,3,3,3,3,3,15329,16575,17496,17937,18375,11433,1533,1533,1333,1333,1633,3,No
53333,2,3,3,3,3,3,33518,29618,22132,22734,23217,23683,1718,1533,1333,1333,1333,716,Yes
133333,3,3,3,3,3,3,93336,84371,82883,83958,78733,75589,3323,3511,3332,3234,3233,2534,No
163333,-1,-1,-2,-2,-2,-1,33265,-131,-527,-923,-1488,-1884,131,396,396,565,792,3,No
283333,3,3,3,3,3,3,186533,181328,183422,173413,173931,177413,8326,8363,6333,6433,6433,6737,No
53333,1,-1,-1,-2,-2,-2,3,783,3,3,3,3,783,3,3,3,3,3,Yes
73333,3,3,3,3,3,3,67521,66999,63949,63699,64718,65973,3333,4533,4342,2533,2833,2533,No
13333,3,3,3,3,3,3,1877,3184,6333,3576,3673,4451,1533,2927,1333,333,1333,533,No
143333,3,3,3,3,3,3,59534,61544,62925,64283,67379,69832,3333,3333,3333,4333,4333,3333,No
43333,3,3,3,2,3,3,18927,21295,25921,25239,26636,29197,3333,5333,3,2333,3333,3,No
213333,-2,-2,-2,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,Yes
23333,3,3,3,3,3,3,17447,18479,19476,19865,23483,23363,1318,1315,734,928,912,1369,No
133333,3,3,3,3,3,3,61559,51163,43824,39619,35762,33258,2333,1636,1533,2333,1533,1333,No
183333,1,2,3,3,3,3,41432,41742,42758,43513,44423,45319,1333,2313,1762,1762,1793,1622,No
533333,-2,-2,-2,-2,-2,-2,1935,3643,162,3,151,2533,3643,162,3,151,2533,3,No
183333,3,3,3,3,3,3,175886,173443,172338,168638,132232,129918,8383,7296,5253,4814,4816,3833,No
